match_id,commence_time_utc,home_team,away_team,closing_snapshot_utc,captured_at_utc,h2h_home_odds,h2h_draw_odds,h2h_away_odds,h2h_home_fair,h2h_draw_fair,h2h_away_fair,h2h_overround,ah_line_home,ah_home_odds,ah_away_odds,ah_home_fair,ah_away_fair,ah_overround,tot_line,tot_over_odds,tot_under_odds,tot_over_fair,tot_under_fair,tot_overround,status,note
9c7073ae2c29ee4881bb695f92168c68,2026-07-04T17:00:00Z,Canada,Morocco,2026-07-04T16:55:36Z,2026-07-04T17:38:17Z,5.23,3.35,1.88,0.1848,0.29152,0.52368,1.02163,0.5,2.06,1.88,0.47676,0.52324,1.01735,2.25,2.08,1.84,0.46865,0.53135,1.02425,ok,
c798a1ffdeda28e82d930e7145a8ff10,2026-07-04T21:00:00Z,Paraguay,France,2026-07-04T20:55:37Z,2026-07-04T21:08:23Z,17.0,6.75,1.22,0.05192,0.14044,0.80765,1.02664,1.75,1.98,1.94,0.49479,0.50521,1.02051,2.75,1.92,1.99,0.50916,0.49084,1.02335,ok,
a4634eae056c18d705e3feffb347163f,2026-07-05T20:00:00Z,Brazil,Norway,2026-07-05T19:55:36Z,2026-07-05T21:12:49Z,1.78,3.76,5.08,0.55226,0.25821,0.18954,1.02461,-0.75,2.01,1.93,0.48969,0.51031,1.01565,2.75,1.93,1.98,0.50654,0.49346,1.02319,ok,
e61a7b471cadc8e3849158ed59d49cab,2026-07-06T01:00:00Z,Mexico,England,2026-07-06T00:55:37Z,2026-07-06T01:18:05Z,3.25,3.09,2.56,0.30056,0.3164,0.38304,1.02194,0.0,2.24,1.75,0.4375,0.5625,1.01786,2.0,1.91,2.0,0.51178,0.48822,1.02356,ok,
16ed3adcf661b3a9bea39871a2d204df,2026-07-06T19:00:00Z,Portugal,Spain,2026-07-06T18:55:37Z,2026-07-06T20:28:57Z,4.04,3.59,2.01,0.24021,0.27105,0.48874,1.02359,0.5,1.92,2.02,0.51289,0.48711,1.01588,2.5,1.78,2.16,0.54942,0.45058,1.02476,ok,
810f80b3ae79f5e86b3747ca15718ed8,2026-07-07T00:00:00Z,USA,Belgium,2026-07-06T23:55:37Z,2026-07-07T01:09:46Z,2.62,3.27,3.0,0.37452,0.29905,0.32643,1.02082,0.0,1.84,2.11,0.53477,0.46523,1.01741,2.75,2.08,1.84,0.46865,0.53135,1.02425,ok,
190922affd0be754bfefd71548dbf90d,2026-07-07T16:01:00Z,Argentina,Egypt,2026-07-07T16:00:37Z,2026-07-07T16:12:50Z,1.36,4.8,11.75,0.72293,0.19964,0.07744,1.02873,-1.5,2.07,1.87,0.47417,0.52583,1.01785,2.5,2.11,1.82,0.46224,0.53776,1.02338,ok,
a6da973c5749ce60adab77d64b3664f4,2026-07-07T20:00:00Z,Switzerland,Colombia,2026-07-07T19:55:37Z,2026-07-07T20:28:03Z,3.7,2.9,2.46,0.26345,0.3376,0.39895,1.0216,0.25,1.88,2.05,0.52206,0.47794,1.01972,2.25,2.19,1.76,0.44422,0.55578,1.0248,ok,
b6e926d7f026782b9cab2fa02b823d92,2026-07-09T20:00:00Z,France,Morocco,2026-07-09T19:55:37Z,2026-07-09T20:07:16Z,1.61,3.95,6.9,0.61337,0.24716,0.13946,1.01921,-1.0,2.01,1.93,0.48969,0.51031,1.01565,2.5,1.91,2.0,0.51178,0.48822,1.02356,ok,
fca257de4583bd4bc592e8b2a8f24ad7,2026-07-10T19:00:00Z,Spain,Belgium,2026-07-10T18:55:37Z,2026-07-10T19:05:47Z,1.67,3.95,5.7,0.58793,0.24462,0.16745,1.02741,-0.75,1.87,2.07,0.52583,0.47417,1.01785,2.75,2.03,1.88,0.48035,0.51965,1.02453,ok,
e66e4478b739fa0657a7a11235e1fcee,2026-07-11T21:01:00Z,Norway,England,2026-07-11T21:00:37Z,2026-07-11T21:25:52Z,4.53,3.88,1.83,0.21319,0.24994,0.53688,1.02493,0.5,2.12,1.83,0.46263,0.53737,1.01815,2.75,1.98,1.93,0.49346,0.50654,1.02319,ok,
200d9cd5eda092c7eb778cc104cd2fd2,2026-07-12T01:00:00Z,Argentina,Switzerland,2026-07-12T00:55:37Z,2026-07-12T01:07:11Z,1.74,3.39,6.34,0.56399,0.28614,0.14986,1.02743,-0.75,1.98,1.95,0.49611,0.50389,1.01787,2.25,2.06,1.85,0.47245,0.52755,1.02598,ok,
f9aa13a662d1658e5a02cfc06d6a2d73,2026-07-14T19:00:00Z,France,Spain,2026-07-14T18:55:37Z,2026-07-14T19:58:10Z,2.64,2.99,3.21,0.37031,0.32624,0.30346,1.02476,-0.25,2.23,1.76,0.44012,0.55988,1.01661,2.5,1.93,1.98,0.50654,0.49346,1.02319,ok,
